MethodName	CoveredStatement	TotalStatement	StatementCoverage	CoveredBranch	TotalBranch	BranchCoverage
org.apache.commons.math3.util.FastMath$ExpFracTable.access$300	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$ExpFracTable.access$200	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$ExpFracTable.<init>	0	1	0.0	0	0	0.0
org.apache.commons.math3.util.FastMath$CodyWaite.getRemB	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$CodyWaite.getRemA	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$CodyWaite.getK	1	1	1.0	0	0	0.0
org.apache.commons.math3.util.FastMath$CodyWaite.<init>	17	19	0.8947368	1	2	0.5
org.apache.commons.math3.exception.MathArithmeticException.getLocalizedMessage	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.MathArithmeticException.getMessage	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.MathArithmeticException.getContext	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.MathArithmeticException.<init>	4	4	1.0	0	0	0.0
org.apache.commons.math3.exception.MathArithmeticException.<init>	4	4	1.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.nonSerializableReplacement	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.deSerializeContext	0	7	0.0	0	2	0.0
org.apache.commons.math3.exception.util.ExceptionContext.serializeContext	0	10	0.0	0	4	0.0
org.apache.commons.math3.exception.util.ExceptionContext.deSerializeMessages	0	12	0.0	0	4	0.0
org.apache.commons.math3.exception.util.ExceptionContext.serializeMessages	0	13	0.0	0	6	0.0
org.apache.commons.math3.exception.util.ExceptionContext.readObject	0	4	0.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.writeObject	0	4	0.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.buildMessage	0	11	0.0	0	4	0.0
org.apache.commons.math3.exception.util.ExceptionContext.getMessage	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.getMessage	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.getLocalizedMessage	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.getMessage	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.getKeys	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.getValue	0	1	0.0	0	0	0.0
org.apache.commons.math3.exception.util.ExceptionContext.setValue	0	2	0.0	0	0	0.0
